Using database connection: sec_user@localhost:5432/sec_data
         56963 function calls (55375 primitive calls) in 0.674 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 default.py:1845(_setup_result_proxy)
       20    0.000    0.000    0.000    0.000 __init__.py:942(format)
        9    0.000    0.000    0.000    0.000 base.py:447(__get__)
        7    0.000    0.000    0.000    0.000 langhelpers.py:416(_exec_code_in_env)
       36    0.000    0.000    0.000    0.000 relationships.py:3236(_gather_columns_with_annotation)
      339    0.000    0.000    0.000    0.000 <frozen _collections_abc>:859(__iter__)
       73    0.000    0.000    0.000    0.000 attr.py:325(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
       20    0.000    0.000    0.000    0.000 __init__.py:674(format)
       57    0.000    0.000    0.000    0.000 annotation.py:124(_annotate)
        1    0.000    0.000    0.000    0.000 base.py:5220(_set_backslash_escapes)
        9    0.000    0.000    0.000    0.000 relationships.py:2337(_log_joins)
       24    0.000    0.000    0.000    0.000 elements.py:5499(safe_construct)
        9    0.000    0.000    0.000    0.000 relationships.py:2600(visit_binary)
   177/15    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
   177/15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       36    0.000    0.000    0.000    0.000 relationships.py:3240(<setcomp>)
       64    0.000    0.000    0.000    0.000 elements.py:3898(__init__)
        3    0.000    0.000    0.000    0.000 series.py:389(__init__)
        1    0.000    0.000    0.000    0.000 client.py:224(parse_headers)
       57    0.000    0.000    0.000    0.000 annotation.py:269(_as_annotated_instance)
        2    0.000    0.000    0.000    0.000 _parser.py:970(parse)
       26    0.000    0.000    0.000    0.000 type_api.py:975(_dialect_info)
        1    0.000    0.000    0.000    0.000 base.py:2577(close)
        6    0.000    0.000    0.000    0.000 cursor.py:1427(__init__)
        1    0.000    0.000    0.000    0.000 base.py:2726(_do_close)
        1    0.000    0.000    0.000    0.000 base.py:2710(_close_impl)
        9    0.000    0.000    0.000    0.000 selectable.py:1480(_joincond_scan_left_right)
       38    0.000    0.000    0.000    0.000 properties.py:305(do_init)
        1    0.000    0.000    0.000    0.000 base.py:2704(_connection_rollback_impl)
        1    0.000    0.000    0.000    0.000 base.py:1108(_rollback_impl)
       50    0.000    0.000    0.000    0.000 response.py:281(get)
      9/2    0.000    0.000    0.000    0.000 _parser.py:447(_parse_sub)
        1    0.000    0.000    0.000    0.000 default.py:577(get_default_isolation_level)
       10    0.000    0.000    0.000    0.000 compiler.py:2531(visit_label)
        1    0.000    0.000    0.000    0.000 base.py:3294(get_isolation_level)
        1    0.000    0.000    0.000    0.000 parser.py:59(parsestr)
       27    0.000    0.000    0.000    0.000 relationships.py:3222(_gather_join_annotations)
       27    0.000    0.000    0.000    0.000 relationships.py:2534(_has_annotation)
        1    0.000    0.000    0.000    0.000 utils.py:755(should_bypass_proxies)
        1    0.000    0.000    0.000    0.000 parser.py:41(parse)
       73    0.000    0.000    0.000    0.000 attr.py:210(update_subclass)
        1    0.000    0.000    0.000    0.000 selectable.py:4726(__init__)
       54    0.000    0.000    0.000    0.000 attr.py:589(append)
        3    0.000    0.000    0.000    0.000 context.py:581(orm_setup_cursor_result)
     11/2    0.000    0.000    0.000    0.000 _parser.py:507(_parse)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.000    0.000 limiter.py:366(try_acquire)
       54    0.000    0.000    0.000    0.000 registry.py:362(append_to_list)
        6    0.000    0.000    0.000    0.000 cursor.py:1490(_init_metadata)
        1    0.000    0.000    0.000    0.000 utils.py:115(proxy_bypass)
        6    0.000    0.000    0.000    0.000 cache_key.py:335(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
       20    0.000    0.000    0.000    0.000 __init__.py:1561(findCaller)
        4    0.000    0.000    0.000    0.000 cursor.py:348(__init__)
        3    0.000    0.000    0.000    0.000 query.py:1964(filter_by)
      326    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
       56    0.000    0.000    0.000    0.000 elements.py:5350(__init__)
        3    0.000    0.000    0.000    0.000 loading.py:79(instances)
       14    0.000    0.000    0.000    0.000 type_api.py:875(dialect_impl)
       10    0.000    0.000    0.000    0.000 {built-in method nt.stat}
       27    0.000    0.000    0.000    0.000 relationships.py:2818(repl)
       24    0.000    0.000    0.000    0.000 __init__.py:178(sub)
        4    0.000    0.000    0.000    0.000 mapper.py:3232(_get_clause)
        3    0.000    0.000    0.000    0.000 default.py:1916(_setup_dml_or_text_result)
        1    0.000    0.000    0.000    0.000 models.py:351(prepare)
        1    0.000    0.000    0.000    0.000 selectable.py:2350(_generate_columns_plus_names)
        9    0.000    0.000    0.000    0.000 relationships.py:3124(_warn_for_conflicting_sync_targets)
        9    0.000    0.000    0.000    0.000 relationships.py:2375(_sanitize_joins)
        1    0.000    0.000    0.000    0.000 context.py:1263(_setup_for_generate)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
       13    0.000    0.000    0.000    0.000 type_api.py:1028(adapt)
        3    0.000    0.000    0.000    0.000 typing.py:1291(__instancecheck__)
        1    0.000    0.000    0.000    0.000 feedparser.py:173(feed)
        8    0.000    0.000    0.000    0.000 strategies.py:106(<lambda>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        9    0.000    0.000    0.000    0.000 annotation.py:492(_deep_deannotate)
        3    0.000    0.000    0.000    0.000 typing.py:1566(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 request.py:2710(getproxies)
    26/25    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       54    0.000    0.000    0.000    0.000 registry.py:120(_stored_in_collection)
        8    0.000    0.000    0.000    0.000 attributes.py:2106(backref_listeners)
      144    0.000    0.000    0.000    0.000 visitors.py:513(run_generated_dispatch)
     27/9    0.000    0.000    0.000    0.000 annotation.py:499(clone)
